Season,Week Number,Day of Week,Gametime Local,Arrests
2011,3,Monday,7:30:00 PM,1.0
2011,1,Monday,8:15:00 PM,2.0
2011,10,Monday,7:30:00 PM,6.0
2011,7,Monday,8:30:00 PM,3.0
2011,13,Monday,8:30:00 PM,6.0
2011,8,Monday,7:30:00 PM,2.0
2011,11,Monday,8:30:00 PM,12.0
2011,2,Monday,8:30:00 PM,18.0
2011,6,Monday,8:30:00 PM,28.0
2011,9,Monday,8:30:00 PM,2.0
2011,15,Monday,5:30:00 PM,10.0
2011,14,Monday,5:30:00 PM,0.0
2011,4,Monday,8:30:00 PM,1.0
2011,16,Saturday,1:00:00 PM,0.0
2011,16,Saturday,3:15:00 PM,0.0
2011,16,Saturday,12:00:00 PM,2.0
2011,16,Saturday,1:00:00 PM,3.0
2011,16,Saturday,1:00:00 PM,31.0
2011,16,Saturday,1:00:00 PM,10.0
2011,16,Saturday,1:15:00 PM,1.0
2011,15,Saturday,8:20:00 PM,2.0
2011,16,Saturday,12:00:00 PM,2.0
2011,16,Saturday,1:00:00 PM,2.0
2011,1,Sunday,1:15:00 PM,5.0
2011,4,Sunday,1:05:00 PM,6.0
2011,7,Sunday,1:05:00 PM,9.0
2011,9,Sunday,2:15:00 PM,6.0
2011,13,Sunday,2:15:00 PM,3.0
2011,14,Sunday,2:05:00 PM,4.0
2011,15,Sunday,2:15:00 PM,1.0
2011,17,Sunday,2:15:00 PM,4.0
2011,1,Sunday,1:05:00 PM,1.0
2011,4,Sunday,8:20:00 PM,0.0
2011,6,Sunday,4:05:00 PM,0.0
2011,8,Sunday,1:00:00 PM,0.0
2011,11,Sunday,1:00:00 PM,2.0
2011,14,Sunday,1:00:00 PM,0.0
2011,16,Sunday,1:00:00 PM,0.0
2011,2,Sunday,1:00:00 PM,0.0
2011,3,Sunday,1:00:00 PM,0.0
2011,5,Sunday,1:00:00 PM,0.0
2011,7,Sunday,1:00:00 PM,0.0
2011,8,Sunday,1:00:00 PM,0.0
